2025-08-13 20:31:02,467 | INFO | database:92 | Database initialized successfully
2025-08-13 20:31:02,510 | INFO | main:1434 | Bot is starting...
2025-08-13 20:31:02,512 | DEBUG | connectionpool:1049 | Starting new HTTPS connection (1): api.telegram.org:443
2025-08-13 20:31:02,950 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/setWebhook?url= HTTP/1.1" 200 68
2025-08-13 20:31:03,085 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getMe HTTP/1.1" 200 304
2025-08-13 20:31:04,092 | DEBUG | connectionpool:1049 | Starting new HTTPS connection (1): api.telegram.org:443
2025-08-13 20:31:24,441 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 23
2025-08-13 20:31:31,096 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 310
2025-08-13 20:31:31,097 | DEBUG | connectionpool:241 | Starting new HTTP connection (1): 172.245.81.156:3000
2025-08-13 20:31:31,542 | DEBUG | connectionpool:544 | http://172.245.81.156:3000 "GET /api/channel HTTP/1.1" 200 None
2025-08-13 20:31:31,544 | DEBUG | connectionpool:1049 | Starting new HTTPS connection (1): api.telegram.org:443
2025-08-13 20:31:31,863 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getChatMember?chat_id=%40thisistestbynotfound&user_id=538348362 HTTP/1.1" 200 121
2025-08-13 20:31:32,001 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getChatMember?chat_id=%40testbynf&user_id=538348362 HTTP/1.1" 200 121
2025-08-13 20:31:32,170 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "POST /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/sendMessage?chat_id=538348362&text=%F0%9F%8E%AE+%D9%86%D9%88%D8%B9+%D8%A8%D8%A7%D8%B2%DB%8C+%D8%B1%D9%88+%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8+%DA%A9%D9%86%3A&reply_markup=%7B%22inline_keyboard%22%3A+%5B%5B%7B%22text%22%3A+%22%5Cud83c%5Cudfaf+%5Cu06a9%5Cu0644%5Cu0627%5Cu0633%5Cu06cc%5Cu06a9%22%2C+%22callback_data%22%3A+%22mode_classic%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%5Cud83d%5Cudd25+%5Cu0686%5Cu0627%5Cu0644%5Cu0634%5Cu06cc%22%2C+%22callback_data%22%3A+%22mode_challenge%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%5Cud83d%5Cudd19+%5Cu0628%5Cu0631%5Cu06af%5Cu0634%5Cu062a%22%2C+%22callback_data%22%3A+%22back_to_main%22%7D%5D%5D%7D&parse_mode=HTML&reply_parameters=%7B%22message_id%22%3A+1337%7D HTTP/1.1" 200 975
2025-08-13 20:31:35,243 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getUpdates?offset=812334564&timeout=20 HTTP/1.1" 200 1200
2025-08-13 20:31:35,244 | DEBUG | connectionpool:241 | Starting new HTTP connection (1): 172.245.81.156:3000
2025-08-13 20:31:35,601 | DEBUG | connectionpool:544 | http://172.245.81.156:3000 "GET /api/channel HTTP/1.1" 200 None
2025-08-13 20:31:35,602 | DEBUG | connectionpool:1049 | Starting new HTTPS connection (1): api.telegram.org:443
2025-08-13 20:31:36,042 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getChatMember?chat_id=%40thisistestbynotfound&user_id=538348362 HTTP/1.1" 200 121
2025-08-13 20:31:36,200 | DEBUG | connectionpool:544 | https://api.telegram.org:443 "GET /bot7316154018:AAGBmMBIn7fszYdQQhEsOPxDasrYxWZGj8M/getChatMember?chat_id=%40testbynf&user_id=538348362 HTTP/1.1" 200 121
